id,firstname,surname,born,died,bornCountry,bornCountryCode,bornCity,diedCountry,diedCountryCode,diedCity,gender,year,category,overallMotivation,share,motivation,name,city,country,undergraduate,undergrad location,undergraduate type,undergraduate major 1,undergraduate major 2,master,master major,phd,graduate,graduate location,graduate type,phd thesis topic 1,phd thesis topic 2,note
968,William D.,Nordhaus,1941-05-31,0000-00-00,USA,US,Albuquerque NM,,,,male,2018,economics,,2,"""for integrating climate change into long-run macroeconomic analysis""",William D. Nordhaus,New Haven CT,USA,Yale University,USA,private,general,0,0,0,1,Massachusetts Institute of Technology,USA,private,economics,0,
969,Paul M.,Romer,1955-00-00,0000-00-00,USA,US,Denver CO,,,,male,2018,economics,,2,"""for integrating technological innovations into long-run macroeconomic analysis""",Paul M. Romer,New York NY,USA,University of Chicago,USA,private,mathematics,0,0,0,1,University of Chicago,USA,private,economics,0,
982,Abhijit,Banerjee,1961-02-21,0000-00-00,India,IN,Mumbai,,,,male,2019,economics,,3,"""for their experimental approach to alleviating global poverty""",Abhijit Banerjee,Cambridge MA,USA,Presidency College,India,public,economics,0,1,economics,1,Harvard University,USA,private,economics,0,
983,Esther,Duflo,1972-10-25,0000-00-00,France,FR,Paris,,,,female,2019,economics,,3,"""for their experimental approach to alleviating global poverty""",Esther Duflo,Cambridge MA,USA,École Normale Supérieure,France,public,history,economics,1,economics,1,Massachusetts Institute of Technology,USA,private,economics,0,
984,Michael,Kremer,1964-11-12,0000-00-00,USA,US,New York NY,,,,male,2019,economics,,3,"""for their experimental approach to alleviating global poverty""",Michael Kremer,Cambridge MA,USA,Harvard University,USA,private,social studies,0,0,0,1,Harvard University,USA,private,economics,0,
995,Paul,Milgrom,1948-04-20,0000-00-00,USA,US,Detroit MI,,,,male,2020,economics,,2,"""for improvements to auction theory and inventions of new auction formats""",Paul Milgrom,Stanford CA,USA,University of Michigan,USA,public,mathematics,0,1,statistics,1,Stanford University,USA,private,commerce,0,
996,Robert,Wilson,1937-05-16,0000-00-00,USA,US,Geneva NE,,,,male,2020,economics,,2,"""for improvements to auction theory and inventions of new auction formats""",Robert Wilson,Stanford CA,USA,Harvard University,USA,private,general,0,1,MBA,1,Harvard University,USA,private,commerce,0,
1007,David,Card,1956-00-00,0000-00-00,Canada,CA,Guelph,,,,male,2021,economics,,2,"""for his empirical contributions  to labour economics""",David Card,Berkeley CA,USA,Queen's University,Canada,public,economics,0,0,0,0,Princeton University,USA,private,economics,0,
1008,Joshua,Angrist,1960-00-00,0000-00-00,USA,US,Columbus OH,,,,male,2021,economics,,4,"""for their methodological contributions to the analysis  of causal relationships""",Joshua Angrist,Cambridge MA,USA,Oberlin College,USA,private,economics,0,1,economics,1,Princeton University,USA,private,economics,0,
1009,Guido,Imbens,1963-09-03,0000-00-00,the Netherlands,NL,,,,,male,2021,economics,,4,"""for their methodological contributions to the analysis  of causal relationships""",Guido Imbens,Stanford CA,USA,Erasmus University Rotterdam,the Netherlands,public,economics,0,1,economics,1,Brown University,USA,private,economics,0,
